Site_Year,Area_Type,v01,v02,v03,v04,v05,v06,v07,v08,v09,v10,v11,v12,v13,v14,v15,v16,v17,v18
Ball Pinnacle_2007,Core,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ball Pinnacle_2008,Core,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ball Pinnacle_2009,Core,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ball Pinnacle_2010,Core,0,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ball Pinnacle_2011,Core,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ball Pinnacle_2012,Core,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ball Pinnacle_2013,Core,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ball Pinnacle_2014,Core,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ball Pinnacle_2015,Core,0,1,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ball Pinnacle_2016,Core,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ball Pinnacle_2017,Core,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ball Pinnacle_2018,Core,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ball Pinnacle_2019,Core,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ball Pinnacle_2020,Core,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ball Pinnacle_2021,Core,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canyon North of Willow Springs_2007,Non-core,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canyon North of Willow Springs_2008,Non-core,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canyon North of Willow Springs_2009,Non-core,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canyon North of Willow Springs_2010,Non-core,1,1,1,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canyon North of Willow Springs_2011,Non-core,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canyon North of Willow Springs_2012,Non-core,1,1,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canyon North of Willow Springs_2013,Non-core,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canyon North of Willow Springs_2014,Non-core,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canyon North of Willow Springs_2015,Non-core,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canyon North of Willow Springs_2016,Non-core,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canyon North of Willow Springs_2017,Non-core,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canyon North of Willow Springs_2018,Non-core,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canyon North of Willow Springs_2019,Non-core,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canyon North of Willow Springs_2020,Non-core,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canyon North of Willow Springs_2021,Non-core,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central High Peaks_2007,Core,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Central High Peaks_2008,Core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Central High Peaks_2009,Core,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Central High Peaks_2010,Core,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
Central High Peaks_2011,Core,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central High Peaks_2012,Core,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central High Peaks_2013,Core,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central High Peaks_2014,Core,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central High Peaks_2015,Core,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central High Peaks_2016,Core,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central High Peaks_2017,Core,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central High Peaks_2018,Core,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central High Peaks_2019,Core,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central High Peaks_2020,Core,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central High Peaks_2021,Core,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Citadel_2007,Core,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Citadel_2008,Core,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Citadel_2009,Core,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Citadel_2010,Core,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Citadel_2011,Core,0,0,0,1,1,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA
Citadel_2012,Core,0,0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Citadel_2013,Core,0,0,0,1,1,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA
Citadel_2014,Core,1,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Citadel_2015,Core,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Citadel_2016,Core,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Citadel_2017,Core,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Citadel_2018,Core,1,1,1,1,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA
Citadel_2019,Core,1,1,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Citadel_2020,Core,1,1,1,2,2,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA
Citadel_2021,Core,1,1,1,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crowley Drainage_2007,Non-core,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crowley Drainage_2008,Non-core,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crowley Drainage_2009,Non-core,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crowley Drainage_2010,Non-core,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crowley Drainage_2011,Non-core,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crowley Drainage_2012,Non-core,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crowley Drainage_2013,Non-core,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crowley Drainage_2014,Non-core,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crowley Drainage_2015,Non-core,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crowley Drainage_2016,Non-core,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crowley Drainage_2017,Non-core,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crowley Drainage_2018,Non-core,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crowley Drainage_2019,Non-core,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crowley Drainage_2020,Non-core,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crowley Drainage_2021,Non-core,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crowley Towers_2007,Core,1,1,1,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA
Crowley Towers_2008,Core,1,1,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crowley Towers_2009,Core,1,1,1,2,1,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA
Crowley Towers_2010,Core,1,1,1,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crowley Towers_2011,Core,1,1,1,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crowley Towers_2012,Core,1,1,1,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crowley Towers_2013,Core,1,1,1,1,1,0,0,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA
Crowley Towers_2014,Core,0,1,1,1,1,1,2,1,2,2,1,2,2,NA,NA,NA,NA,NA
Crowley Towers_2015,Core,1,1,1,2,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crowley Towers_2016,Core,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,NA,NA,NA
Crowley Towers_2017,Core,1,1,1,1,2,2,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA
Crowley Towers_2018,Core,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crowley Towers_2019,Core,1,1,1,1,1,1,1,2,2,2,2,2,2,NA,NA,NA,NA,NA
Crowley Towers_2020,Core,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
Crowley Towers_2021,Core,1,1,1,1,1,1,1,1,1,2,2,2,2,NA,NA,NA,NA,NA
D. Soto Canyon_2007,Non-core,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D. Soto Canyon_2008,Non-core,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D. Soto Canyon_2009,Non-core,0,0,0,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
D. Soto Canyon_2010,Non-core,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D. Soto Canyon_2011,Non-core,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D. Soto Canyon_2012,Non-core,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D. Soto Canyon_2013,Non-core,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D. Soto Canyon_2014,Non-core,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D. Soto Canyon_2015,Non-core,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D. Soto Canyon_2016,Non-core,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D. Soto Canyon_2017,Non-core,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D. Soto Canyon_2018,Non-core,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D. Soto Canyon_2019,Non-core,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D. Soto Canyon_2020,Non-core,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D. Soto Canyon_2021,Non-core,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deserted Valley_2007,Core,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deserted Valley_2008,Core,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deserted Valley_2009,Core,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deserted Valley_2010,Core,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deserted Valley_2011,Core,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deserted Valley_2012,Core,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deserted Valley_2013,Core,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deserted Valley_2014,Core,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deserted Valley_2015,Core,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deserted Valley_2016,Core,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deserted Valley_2017,Core,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deserted Valley_2018,Core,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deserted Valley_2019,Core,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deserted Valley_2020,Core,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deserted Valley_2021,Core,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discovery Wall_2007,Core,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discovery Wall_2008,Core,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discovery Wall_2009,Core,1,2,2,1,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discovery Wall_2010,Core,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discovery Wall_2011,Core,1,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discovery Wall_2012,Core,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discovery Wall_2013,Core,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discovery Wall_2014,Core,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discovery Wall_2015,Core,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discovery Wall_2016,Core,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discovery Wall_2017,Core,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discovery Wall_2018,Core,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discovery Wall_2019,Core,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discovery Wall_2020,Core,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discovery Wall_2021,Core,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drywall_2007,Non-core,1,1,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drywall_2008,Non-core,0,1,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drywall_2009,Non-core,1,1,1,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drywall_2010,Non-core,1,0,1,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drywall_2011,Non-core,1,1,1,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drywall_2012,Non-core,1,1,1,1,2,2,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA
Drywall_2013,Non-core,1,1,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drywall_2014,Non-core,0,1,1,1,1,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA
Drywall_2015,Non-core,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drywall_2016,Non-core,0,0,0,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drywall_2017,Non-core,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drywall_2018,Non-core,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drywall_2019,Non-core,1,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drywall_2020,Non-core,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drywall_2021,Non-core,0,1,1,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Egg_2007,Core,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Egg_2008,Core,0,0,0,0,0,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA
Egg_2009,Core,1,0,0,1,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Egg_2010,Core,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Egg_2011,Core,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Egg_2012,Core,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Egg_2013,Core,0,0,1,1,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Egg_2014,Core,1,0,1,1,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Egg_2015,Core,1,1,1,1,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Egg_2016,Core,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Egg_2017,Core,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,NA
Egg_2018,Core,0,0,1,1,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA
Egg_2019,Core,0,1,1,1,1,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA
Egg_2020,Core,1,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
